comp_gecodb	comp_lemma	comp_freq	n1_lemma	n1_freq	n1_prod	n1_mass_freq	n2_lemma	n2_freq
lumpen_sammlung	Lumpensammlung	56	lumpen	248	20	5724	sammlung	425109
gebäck_teller	Gebäckteller	56	gebäck	42577	25	2835	teller	152738
gebäck_herstellung	Gebäckherstellung	29	gebäck	42577	25	2835	herstellung	215165
gebäck_tüte	Gebäcktüte	42	gebäck	42577	25	2835	tüte	103256
ausgrabung_+s_objekt	Ausgrabungsobjekt	31	ausgrabung	38010	27	11058	objekt	493449
verdunstung_+s_grad	Verdunstungsgrad	23	verdunstung	6130	13	1788	grad	864987
auswanderer_forschung	Auswandererforschung	21	auswanderer	20910	29	5249	forschung	489614
vorhersage_zentrale	Vorhersagezentrale	63	vorhersage	52767	16	1448	zentrale	158371
lumpen_bündel	Lumpenbündel	25	lumpen	248	20	5724	bündel	36095
verfall_+s_spur	Verfallsspur	36	verfall	87654	23	16803	spur	487330
betätigung_+s_ort	Betätigungsort	22	betätigung	37202	15	23362	ort	3240089
gebäck_kreation	Gebäckkreation	28	gebäck	42577	25	2835	kreation	56539
ankündigung_+s_beschluss	Ankündigungsbeschluss	48	ankündigung	295299	11	2648	beschluss	716044
spezialität_+en_bäckerei	Spezialitätenbäckerei	47	spezialität	151034	33	7249	bäckerei	156768
schrot_kügelchen	Schrotkügelchen	26	schrot	6442	15	11427	kügelchen	6701
prüfer_kollege	Prüferkollege	33	prüfer	88816	11	902	kollege	2285843
auswanderer_roman	Auswandererroman	34	auswanderer	20910	29	5249	roman	893722
spezialität_+en_haus	Spezialitätenhaus	27	spezialität	151034	33	7249	haus	6907268
spezialität_+en_angebot	Spezialitätenangebot	48	spezialität	151034	33	7249	angebot	2750423
erlaubnis_wesen	Erlaubniswesen	41	erlaubnis	102950	15	3571	wesen	175080
auswanderer_generation	Auswanderergeneration	32	auswanderer	20910	29	5249	generation	959451
widerruf_+s_klage	Widerrufsklage	33	widerruf	17718	18	13269	klage	398830
spezialität_+en_handel	Spezialitätenhandel	24	spezialität	151034	33	7249	handel	649201
widerruf_+s_quote	Widerrufsquote	23	widerruf	17718	18	13269	quote	285609
spezialität_+en_menü	Spezialitätenmenü	39	spezialität	151034	33	7249	menü	89528
lumpen_gewand	Lumpengewand	20	lumpen	248	20	5724	gewand	84371
kaution_+s_auflage	Kautionsauflage	358	kaution	43746	20	2799	auflage	595697
gebäck_sortiment	Gebäcksortiment	20	gebäck	42577	25	2835	sortiment	124717
betätigung_+s_prüfung	Betätigungsprüfung	24	betätigung	37202	15	23362	prüfung	607302
betätigung_+s_spektrum	Betätigungsspektrum	23	betätigung	37202	15	23362	spektrum	155033
